outcome,treatment,female,black,hispanic,pretest,dadmiss,dadvoc,dadsome,dadcoll,mommiss,momvoc,momsome,momcoll,fincome,fincmiss,ownhome,perwhite,urban,cue80,stypc80,stwmfg80,dist2yr,dist4yr,dadpostgradhs,mompostgradhs
13,1,0,0,0,51.92,0,0,0,1,0,0,0,0,31500,0,1,87,0,4.7,10549,7.54,0,7,1,0
12,1,1,0,0,60.93,0,0,0,1,0,0,1,0,9500,0,1,87,0,4.7,10549,7.54,0,7,1,1
12,1,1,0,0,58.16,0,0,1,0,0,0,0,0,0,1,1,50,0,5.8,10815,7.18,10,5,1,0
12,1,1,0,0,45.4,0,0,0,1,0,0,0,0,31500,0,1,50,0,5.8,10815,7.18,10,5,1,0
13,1,1,0,0,41.8,0,0,0,0,0,0,0,0,22500,0,0,50,0,5.8,10815,7.18,10,5,0,0
12,1,1,0,0,51.98,0,0,0,0,0,0,0,0,31500,0,1,50,0,5.8,10815,7.18,10,5,0,0
13,1,1,1,0,45.44,0,0,0,0,1,0,0,0,9500,0,1,26,0,6.4,9279,7.35,8,4,0,0
13,1,0,1,0,45.92,1,0,0,0,0,0,0,0,3500,0,0,62,1,5.6,8977,7.33,20,3,0,0
12,1,1,1,0,39.89,0,0,0,0,0,0,0,0,9500,0,0,62,1,5.6,8977,7.33,20,3,0,0
12,1,0,1,0,44.17,0,0,0,0,0,0,0,0,22500,0,1,69,1,5.7,10815,7.18,1,3,0,0
14,1,1,1,0,46.28,0,0,0,0,0,0,0,0,22500,0,0,69,1,5.7,10815,7.18,1,3,0,0
16,1,1,0,0,54.21,0,0,1,0,0,0,0,0,31500,0,0,69,1,5.7,10815,7.18,1,3,1,0
12,1,1,1,0,40.78,0,0,1,0,0,0,1,0,18000,0,1,69,1,5.7,10815,7.18,1,3,1,1
17,1,1,1,0,64.69,0,0,0,0,0,0,1,0,22500,0,1,69,1,5.7,10815,7.18,1,3,0,1
13,1,0,1,0,47.45,0,0,1,0,0,0,1,0,14000,0,0,69,1,5.7,10815,7.18,1,3,1,1
14,1,0,0,1,39.9,0,1,0,0,0,1,0,0,22500,0,1,67,1,4.6,8977,7.33,5,5,1,1
16,1,1,0,0,50.84,0,0,1,0,0,0,0,1,18000,0,1,67,1,4.6,8977,7.33,5,5,1,1
13,1,1,0,0,44.94,0,0,0,0,0,0,0,0,14000,0,1,67,1,4.6,8977,7.33,5,5,0,0
12,1,0,0,0,34.29,0,0,1,0,0,0,1,0,18000,0,0,67,1,4.6,8977,7.33,5,5,1,1
12,1,0,1,0,36.24,0,0,0,0,0,0,1,0,9500,0,1,67,1,4.6,8977,7.33,5,5,0,1
14,1,1,1,0,39.02,0,0,0,1,0,0,1,0,31500,0,1,67,1,4.6,8977,7.33,5,5,1,1
12,1,0,1,0,36.76,0,0,0,0,0,0,0,0,14000,0,1,72,0,5.3,10549,7.54,8,15,0,0
12,1,0,0,0,48.16,1,0,0,0,1,0,0,0,0,1,1,72,0,5.3,10549,7.54,8,15,0,0
16,1,0,0,0,47.31,0,1,0,0,0,0,1,0,31500,0,1,72,0,5.3,10549,7.54,8,15,1,1
13,1,1,1,0,50.02,0,0,0,0,0,0,0,0,3500,0,1,72,0,5.3,10549,7.54,8,15,0,0
12,1,1,1,0,29.7,1,0,0,0,1,0,0,0,31500,0,1,95,0,9.3,7688,7.4,12,60,0,0
12,1,0,0,1,53.14,0,0,0,0,0,0,0,0,22500,0,1,95,0,9.3,7688,7.4,12,60,0,0
12,1,1,0,0,52.5,0,0,1,0,0,0,0,0,22500,0,1,95,0,9.3,7688,7.4,12,60,1,0
13,1,1,0,0,54.36,1,0,0,0,1,0,0,0,9500,0,1,93,0,5.5,7688,7.4,8,1,0,0
13,1,0,0,0,59.61,0,0,0,0,0,0,0,0,0,1,1,93,0,5.5,7688,7.4,8,1,0,0
13,1,1,0,0,57.51,0,0,0,1,0,0,0,1,0,1,1,93,0,5.5,7688,7.4,8,1,1,1
13,1,1,0,0,43.59,0,0,0,1,0,0,0,0,31500,0,1,93,0,5.5,7688,7.4,8,1,1,0
17,1,1,0,0,57.9,1,0,0,0,0,0,1,0,22500,0,1,93,0,5.5,7688,7.4,8,1,0,1
13,1,0,0,0,49.68,0,1,0,0,0,0,0,0,9500,0,1,93,0,5.5,7688,7.4,8,1,1,0
14,1,1,1,0,44.63,1,0,0,0,0,0,0,0,3500,0,0,60,1,5.5,7688,7.4,13,3,0,0
16,1,0,0,0,58.08,0,0,1,0,0,0,0,0,22500,0,1,60,1,5.5,7688,7.4,13,3,1,0
12,1,0,1,0,31.79,1,0,0,0,1,0,0,0,3500,0,0,60,1,5.5,7688,7.4,13,3,0,0
12,1,1,0,0,51.06,1,0,0,0,0,0,0,0,62000,0,1,60,1,5.5,7688,7.4,13,3,0,0
16,1,1,0,1,56.72,0,0,0,1,0,0,0,0,62000,0,1,60,1,5.5,7688,7.4,13,3,1,0
13,1,1,1,0,35.61,1,0,0,0,1,0,0,0,3500,0,0,60,1,5.5,7688,7.4,13,3,0,0
12,1,1,0,0,38.65,0,0,0,0,0,1,0,0,18000,0,0,60,1,5.5,7688,7.4,13,3,0,1
16,1,1,0,0,55.99,0,0,0,0,0,0,0,0,14000,0,0,60,1,5.5,7688,7.4,13,3,0,0
16,1,1,0,0,42.12,0,0,0,0,0,0,0,0,31500,0,1,80,0,3.7,7688,7.4,30,5,0,0
16,1,1,0,0,45.68,0,0,0,1,0,0,0,0,31500,0,1,80,0,3.7,7688,7.4,30,5,1,0
12,1,0,0,0,55.16,0,0,1,0,0,0,0,0,18000,0,1,80,0,3.7,7688,7.4,30,5,1,0
13,1,1,0,0,57.7,0,0,1,0,0,0,1,0,18000,0,0,80,0,3.7,7688,7.4,30,5,1,1
16,1,1,0,0,64.63,0,0,0,1,0,0,0,1,9500,0,1,99,0,12.1,8731,9.07,20,35,1,1
12,1,0,0,0,37.72,0,0,0,0,0,0,0,0,3500,0,1,99,0,12.1,8731,9.07,20,35,0,0
13,1,1,0,0,36.07,1,0,0,0,0,0,0,0,0,1,1,99,0,12.1,8731,9.07,20,35,0,0
13,1,1,0,0,48.08,1,0,0,0,0,0,0,0,9500,0,1,99,0,12.1,8731,9.07,20,35,0,0
12,1,0,0,0,55.04,0,1,0,0,0,1,0,0,62000,0,1,98,1,5.7,8795,8.26,40,8,1,1
15,1,1,0,0,61.09,0,0,0,0,0,1,0,0,14000,0,1,100,0,9,8626,7.49,1,15,0,1
12,1,0,0,0,46.93,0,0,0,0,0,0,0,0,14000,0,1,100,0,10.2,8626,7.49,30,32,0,0
13,1,0,0,0,59.2,0,0,1,0,0,0,1,0,22500,0,1,100,0,10.2,8626,7.49,30,32,1,1
15,1,0,0,0,52.01,0,0,0,0,0,0,0,0,31500,0,1,93,0,10.8,8795,8.26,6,40,0,0
12,1,1,0,0,51.19,0,0,0,0,0,0,0,0,31500,0,1,93,0,10.8,8795,8.26,6,40,0,0
17,1,0,0,0,52.82,0,0,0,0,0,0,0,0,18000,0,1,93,0,10.8,8795,8.26,6,40,0,0
12,1,0,0,0,46.01,1,0,0,0,0,0,0,0,14000,0,1,93,0,10.8,8795,8.26,6,40,0,0
14,1,1,1,0,46.25,0,0,0,0,0,0,0,0,3500,0,1,93,0,10.8,8795,8.26,6,40,0,0
12,1,1,0,0,58.77,1,0,0,0,0,1,0,0,14000,0,0,93,0,10.8,8795,8.26,6,40,0,1
13,1,1,0,0,55.17,0,0,0,0,0,0,0,0,14000,0,1,93,0,10.8,8795,8.26,6,40,0,0
13,1,0,0,0,34.33,0,0,0,1,0,0,0,0,9500,0,1,100,0,8.5,8795,8.26,26,26,1,0
13,1,0,0,0,36.5,0,0,0,1,1,0,0,0,22500,0,1,100,0,8.5,8795,8.26,26,26,1,0
16,1,1,0,0,61.81,0,0,1,0,0,0,0,0,22500,0,1,100,0,8.5,8795,8.26,26,26,1,0
13,1,1,0,0,46.11,0,0,0,0,0,0,0,0,3500,0,1,99,0,14.9,8795,8.26,40,26,0,0
12,1,0,1,0,41.2,0,0,0,0,0,0,0,0,9500,0,1,55,0,6.1,8626,7.49,20,10,0,0
13,1,1,0,0,44.9,0,0,0,0,0,0,0,0,31500,0,1,55,0,6.1,8626,7.49,20,10,0,0
14,1,1,1,0,46.72,0,0,0,0,0,0,0,0,18000,0,1,55,0,6.1,8626,7.49,20,10,0,0
12,1,0,0,0,45.59,0,0,0,0,0,0,0,0,3500,0,1,55,0,6.1,8626,7.49,20,10,0,0
16,1,0,1,0,48.39,1,0,0,0,0,0,0,0,9500,0,1,55,0,6.1,8626,7.49,20,10,0,0
12,1,1,1,0,43.69,1,0,0,0,0,0,0,0,3500,0,1,75,0,9.5,7688,7.4,35,30,0,0
12,1,1,0,1,36.29,1,0,0,0,0,0,0,0,3500,0,0,75,0,9.5,7688,7.4,35,30,0,0
13,1,0,1,0,37,0,0,0,0,1,0,0,0,9500,0,1,75,0,9.5,7688,7.4,35,30,0,0
14,1,1,1,0,35.94,1,0,0,0,0,0,0,1,9500,0,1,75,0,9.5,7688,7.4,35,30,0,1
12,1,1,0,0,57.98,0,0,0,0,0,0,0,0,9500,0,1,70,0,11.5,8626,7.49,35,50,0,0
12,1,1,0,0,53.92,0,1,0,0,0,0,0,0,18000,0,1,70,0,11.5,8626,7.49,35,50,1,0
15,1,0,0,0,49.69,0,0,1,0,0,0,0,0,31500,0,1,98,0,9.6,8731,9.07,30,50,1,0
14,1,0,0,0,59.45,0,0,0,0,0,0,0,0,18000,0,0,96,0,9.4,8731,9.07,10,50,0,0
12,1,1,0,0,60.46,0,0,0,0,0,0,0,0,9500,0,1,96,0,9.4,8731,9.07,10,50,0,0
13,1,1,0,0,58.19,0,0,0,0,0,0,0,0,14000,0,1,96,0,9.4,8731,9.07,10,50,0,0
12,1,1,0,0,53.09,0,0,0,0,0,0,0,0,14000,0,0,96,0,9.4,8731,9.07,10,50,0,0
12,1,0,0,0,45.22,0,0,0,0,0,0,0,0,14000,0,0,80,0,7.8,8731,9.07,12,12,0,0
13,1,0,1,0,46.39,1,0,0,0,0,0,0,0,3500,0,0,2,1,5.9,8795,8.26,5,4,0,0
13,1,0,1,0,40.38,0,0,0,0,0,0,0,1,14000,0,1,2,1,5.9,8795,8.26,5,4,0,1
15,1,1,0,0,42.5,0,0,0,1,0,0,0,1,22500,0,1,70,1,5.7,8795,8.26,30,5,1,1
12,1,1,0,0,39.89,0,0,0,0,0,0,0,0,22500,0,1,68,0,9,8626,7.49,7,12,0,0
12,1,1,1,0,28.77,1,0,0,0,0,0,0,1,3500,0,1,68,0,9,8626,7.49,7,12,0,1
13,1,1,1,0,42.13,1,0,0,0,1,0,0,0,14000,0,0,65,0,8,7688,7.4,0,0,0,0
12,1,0,0,0,51.77,1,0,0,0,0,0,0,0,9500,0,0,40,0,9.7,8626,7.49,26,70,0,0
13,1,1,0,0,55.02,0,0,0,0,0,0,0,0,18000,0,1,40,0,9.7,8626,7.49,26,70,0,0
13,1,0,1,0,35.28,0,0,0,0,1,0,0,0,3500,0,1,30,1,7.5,8626,7.49,7,6,0,0
13,1,0,0,0,57.96,0,0,0,0,0,0,0,0,14000,0,1,98,0,12.5,8731,9.07,30,90,0,0
14,1,0,0,0,33.4,0,0,0,0,0,0,0,0,22500,0,1,100,0,10.3,8626,7.49,30,25,0,0
13,1,0,1,0,39.59,0,0,0,0,1,0,0,0,9500,0,0,75,0,8.4,8795,8.26,25,45,0,0
14,1,1,0,0,60.24,0,0,1,0,0,0,1,0,9500,0,0,75,0,8.4,8795,8.26,25,45,1,1
16,1,0,1,0,46.14,0,0,0,0,0,0,0,0,14000,0,1,75,0,8.4,8795,8.26,25,45,0,0
13,1,1,0,0,54.92,0,0,0,0,0,0,1,0,18000,0,0,75,0,8.4,8795,8.26,25,45,0,1
13,1,0,0,0,37.38,1,0,0,0,1,0,0,0,22500,0,1,99,0,10.2,8795,8.26,45,45,0,0
13,1,1,0,0,53.29,1,0,0,0,0,0,0,0,18000,0,1,99,0,10.2,8795,8.26,45,45,0,0
12,1,0,0,0,34.17,0,0,0,0,0,0,0,0,22500,0,1,99,0,10.2,8795,8.26,45,45,0,0
12,1,1,1,0,42.92,0,0,1,0,0,0,0,0,14000,0,1,0,1,5.5,7688,7.4,10,5,1,0
13,1,1,1,0,34.66,0,0,0,0,0,0,0,0,3500,0,0,0,1,5.5,7688,7.4,10,5,0,0
13,1,1,1,0,40.88,1,0,0,0,1,0,0,0,3500,0,1,0,1,5.5,7688,7.4,10,5,0,0
13,1,1,1,0,35.75,1,0,0,0,0,0,0,0,18000,0,1,0,1,5.5,7688,7.4,10,5,0,0
12,1,1,1,0,47.27,1,0,0,0,1,0,0,0,3500,0,0,0,1,5.5,7688,7.4,10,5,0,0
13,1,0,0,0,34.65,1,0,0,0,0,0,0,0,3500,0,0,100,0,11.2,8731,9.07,20,60,0,0
15,1,1,0,0,40.4,0,0,0,0,0,0,0,0,18000,0,1,96,0,7.2,8795,8.26,22,35,0,0
14,1,1,0,0,39.59,1,0,0,0,1,0,0,0,31500,0,1,96,0,7.2,8795,8.26,22,35,0,0
16,1,1,0,0,43.56,0,0,0,1,0,0,0,1,31500,0,1,96,0,7.2,8795,8.26,22,35,1,1
12,1,1,0,0,41.26,0,0,0,0,1,0,0,0,22500,0,0,86,0,3.5,10497,368.36,10,10,0,0
14,1,0,0,0,46.5,0,0,1,0,0,0,0,0,14000,0,1,86,0,3.5,10497,368.36,10,10,1,0
12,1,1,0,0,45.32,1,0,0,0,0,0,0,0,22500,0,1,86,0,3.5,10497,368.36,10,10,0,0
15,1,0,0,0,53.47,0,0,0,0,0,0,0,0,9500,0,1,88,0,6,10497,368.36,17,32,0,0
14,1,1,0,0,41.15,0,0,0,0,1,0,0,0,3500,0,1,88,0,6,10497,368.36,17,32,0,0
15,1,1,0,0,55.06,0,0,0,0,1,0,0,0,31500,0,0,61,0,8.4,10497,368.36,3,100,0,0
13,1,0,1,0,40.37,0,0,0,0,0,0,0,0,0,1,1,58,0,6.9,9776,9.9,65,1,0,0
14,1,1,0,0,50.97,0,0,0,0,0,0,0,0,9500,0,1,22,0,7.8,10497,368.36,60,11,0,0
14,1,0,1,0,40.56,0,0,0,0,1,0,0,0,0,1,0,10,0,7.9,8189,6.59,35,80,0,0
13,1,1,1,0,40.56,1,0,0,0,1,0,0,0,0,1,0,10,0,7.9,8189,6.59,35,80,0,0
12,1,1,0,0,52.51,0,0,0,1,0,0,1,0,18000,0,1,88,0,4.5,10497,368.36,65,27,1,1
12,1,0,0,0,42.71,1,0,0,0,1,0,0,0,0,1,0,88,0,4.5,10497,368.36,65,27,0,0
14,1,1,0,0,41.19,1,0,0,0,0,1,0,0,3500,0,0,88,0,4.5,10497,368.36,65,27,0,1
16,1,1,1,0,46.11,1,0,0,0,0,0,0,0,14000,0,1,60,0,9.9,8189,6.59,2,60,0,0
13,1,0,0,0,59.72,1,0,0,0,0,0,0,0,9500,0,1,60,0,9.9,8189,6.59,2,60,0,0
13,1,1,1,0,45.88,0,0,0,0,0,0,0,0,9500,0,1,60,0,9.9,8189,6.59,2,60,0,0
12,1,1,1,0,37.87,0,0,0,0,0,0,0,0,0,1,1,60,0,9.9,8189,6.59,2,60,0,0
15,1,0,1,0,54.19,0,0,0,0,0,0,0,0,22500,0,1,35,0,9.7,9776,9.9,10,36,0,0
18,1,1,0,1,38.61,0,0,0,0,0,0,0,1,9500,0,1,62,0,5.2,9776,9.9,8,8,0,1
12,1,0,1,0,28.95,0,0,0,0,0,0,0,0,31500,0,1,67,1,4.1,10497,368.36,8,2,0,0
14,1,0,0,0,46.02,0,0,0,1,0,0,0,0,14000,0,1,67,1,4.1,10497,368.36,8,2,1,0
12,1,0,1,0,37.61,1,0,0,0,0,0,0,0,3500,0,1,34,0,8.5,8189,6.59,24,56,0,0
12,1,1,1,0,30.91,0,0,0,0,0,1,0,0,3500,0,1,34,0,8.5,8189,6.59,24,56,0,1
13,1,1,1,0,39.89,0,0,0,0,0,0,0,0,14000,0,0,34,0,8.5,8189,6.59,24,56,0,0
12,1,1,0,0,54.78,1,0,0,0,0,0,0,0,14000,0,1,63,1,4.3,10497,368.36,4,5,0,0
13,1,1,1,0,33.95,0,0,0,0,0,0,0,0,0,1,0,63,1,4.3,10497,368.36,4,5,0,0
13,1,1,0,0,38.17,0,0,1,0,0,0,0,0,62000,0,0,63,1,4.3,10497,368.36,4,5,1,0
13,1,0,1,0,49.07,0,0,1,0,0,0,1,0,22500,0,1,63,1,4.3,10497,368.36,4,5,1,1
14,1,0,0,0,51.53,0,0,0,1,0,0,0,1,62000,0,1,75,1,4.3,10980,9.92,1,1,1,1
16,1,0,0,0,60.83,1,0,0,0,1,0,0,0,9500,0,0,75,1,4.3,10980,9.92,1,1,0,0
12,1,0,0,0,37.17,0,1,0,0,0,0,0,0,62000,0,1,78,0,3.7,10980,9.92,2,5,1,0
15,1,0,0,0,57.3,0,0,0,0,0,0,0,0,31500,0,1,78,0,3.7,10980,9.92,2,5,0,0
13,1,1,0,1,41.2,0,0,0,0,0,0,0,0,22500,0,1,78,0,3.7,10980,9.92,2,5,0,0
12,1,1,0,0,42.18,0,0,0,0,1,0,0,0,62000,0,1,78,0,3.7,10980,9.92,2,5,0,0
12,1,1,0,0,59.5,0,0,1,0,0,0,0,0,62000,0,1,78,0,3.7,10980,9.92,2,5,1,0
13,1,1,0,0,46.06,0,0,1,0,0,0,1,0,18000,0,1,80,0,6.9,10980,9.92,5,40,1,1
13,1,1,0,1,48.86,0,0,0,0,0,0,0,0,18000,0,1,80,0,6.9,10980,9.92,5,40,0,0
13,1,1,1,0,64.18,0,0,1,0,0,0,1,0,14000,0,1,80,0,6.9,10980,9.92,5,40,1,1
12,1,1,0,0,60.41,0,0,0,0,0,0,0,0,9500,0,1,80,0,6.9,10980,9.92,5,40,0,0
13,1,1,0,0,53.45,0,0,0,0,0,0,0,0,31500,0,1,80,0,6.9,10980,9.92,5,40,0,0
13,1,0,0,0,59.37,0,0,0,0,0,0,0,0,9500,0,1,82,0,4.5,10980,9.92,2,17,0,0
13,1,0,0,0,43.79,0,0,0,0,0,0,0,0,62000,0,1,82,0,4.5,10980,9.92,2,17,0,0
12,1,1,0,1,38.04,0,0,0,0,0,0,0,0,62000,0,1,82,0,4.5,10980,9.92,2,17,0,0
13,1,1,0,0,53.65,0,0,0,0,0,0,0,0,18000,0,1,82,0,4.5,10980,9.92,2,17,0,0
15,1,1,0,0,57.81,0,0,0,1,0,1,0,0,31500,0,1,82,0,4.5,10980,9.92,2,17,1,1
13,1,0,0,0,48.72,0,1,0,0,0,0,0,0,18000,0,1,82,0,4.5,10980,9.92,2,17,1,0
12,1,1,1,0,42.78,1,0,0,0,0,1,0,0,14000,0,0,82,0,4.5,10980,9.92,2,17,0,1
13,1,1,0,0,59.65,0,0,0,0,0,0,0,0,18000,0,1,97,0,4.6,10980,9.92,40,40,0,0
13,1,0,0,1,37.14,1,0,0,0,0,1,0,0,14000,0,1,68,0,5.1,10980,9.92,19,35,0,1
14,1,1,1,0,41.23,0,0,0,0,0,0,0,0,9500,0,1,68,0,5.1,10980,9.92,19,35,0,0
15,1,0,0,0,53.11,0,0,0,1,0,0,1,0,14000,0,0,68,0,5.1,10980,9.92,19,35,1,1
15,1,0,1,0,57.4,0,0,1,0,0,0,0,1,9500,0,1,68,0,5.1,10980,9.92,19,35,1,1
13,1,0,0,0,37.63,0,0,0,0,0,0,0,0,22500,0,1,62,1,4.9,10980,9.92,40,7,0,0
14,1,1,0,1,48.81,0,0,1,0,0,0,0,0,18000,0,1,62,1,4.9,10980,9.92,40,7,1,0
13,1,1,0,0,51.12,0,0,1,0,0,0,0,0,22500,0,1,86,0,3.5,10980,9.92,0,8,1,0
14,1,0,1,0,38.57,1,0,0,0,1,0,0,0,9500,0,0,54,1,5.1,10980,9.92,3,3,0,0
16,1,1,1,0,45.22,0,0,0,0,0,0,0,1,14000,0,1,54,1,5.1,10980,9.92,3,3,0,1
13,1,1,1,0,40.99,0,0,0,1,0,0,1,0,31500,0,1,54,1,5.1,10980,9.92,3,3,1,1
15,1,1,0,0,51.3,0,0,0,0,0,0,0,0,3500,0,1,85,0,7.5,10980,9.92,14,45,0,0
14,1,1,0,0,52.21,0,1,0,0,0,0,0,0,0,1,1,85,0,7.5,10980,9.92,14,45,1,0
13,1,1,0,0,51.9,0,0,1,0,0,0,0,0,22500,0,1,85,0,7.5,10980,9.92,14,45,1,0
13,1,1,1,0,37.99,1,0,0,0,1,0,0,0,0,1,1,85,0,7.5,10980,9.92,14,45,0,0
13,1,0,0,0,57.94,0,0,0,1,0,0,1,0,31500,0,1,85,0,7.5,10980,9.92,14,45,1,1
12,1,0,0,0,46.33,0,0,0,1,0,0,1,0,22500,0,1,85,0,7.5,10980,9.92,14,45,1,1
12,1,0,1,0,42.51,0,0,0,0,0,0,0,0,14000,0,1,15,0,5.6,10980,9.92,60,35,0,0
14,1,1,1,0,46.36,0,0,1,0,0,0,0,1,18000,0,1,15,0,5.6,10980,9.92,60,35,1,1
14,1,1,0,0,59.33,0,0,0,0,0,0,0,0,31500,0,1,79,0,6.2,10980,9.92,16,40,0,0
16,1,1,0,0,56.89,1,0,0,0,0,0,0,0,3500,0,1,79,0,6.2,10980,9.92,16,40,0,0
12,1,1,1,0,38.48,1,0,0,0,0,0,0,0,3500,0,0,79,0,6.2,10980,9.92,16,40,0,0
15,1,0,0,0,55.97,0,0,1,0,0,0,0,0,31500,0,1,66,0,8.1,10980,9.92,4,30,1,0
16,1,1,0,0,64.23,0,1,0,0,0,0,0,0,22500,0,1,78,0,6,10980,9.92,44,45,1,0
12,1,0,0,0,44.35,0,0,1,0,0,1,0,0,22500,0,1,78,0,6,10980,9.92,44,45,1,1
12,1,1,0,0,53.69,0,0,0,0,0,0,1,0,18000,0,1,78,0,6,10980,9.92,44,45,0,1
16,1,1,1,0,41.41,1,0,0,0,1,0,0,0,14000,0,1,78,0,6,10980,9.92,44,45,0,0
13,1,0,1,0,33.36,1,0,0,0,0,0,0,0,3500,0,0,60,0,4.3,10980,9.92,28,40,0,0
12,1,1,1,0,43.83,0,0,0,0,0,0,0,0,9500,0,1,60,0,4.3,10980,9.92,28,40,0,0
14,1,0,1,0,38.97,1,0,0,0,0,0,0,0,9500,0,1,60,0,4.3,10980,9.92,28,40,0,0
13,1,0,1,0,42.59,0,0,0,0,0,0,0,0,18000,0,1,60,0,4.3,10980,9.92,28,40,0,0
14,1,0,1,0,40.77,0,0,0,1,1,0,0,0,22500,0,1,60,0,4.3,10980,9.92,28,40,1,0
15,1,0,0,0,53.81,1,0,0,0,0,0,0,0,14000,0,0,74,1,4.3,10980,9.92,8,15,0,0
12,1,0,0,0,41.22,0,0,0,0,0,1,0,0,18000,0,1,74,1,4.3,10980,9.92,8,15,0,1
14,1,0,0,0,62.83,0,0,0,0,0,0,0,0,31500,0,1,74,1,4.3,10980,9.92,8,15,0,0
15,1,1,1,0,48.47,0,1,0,0,0,0,0,0,18000,0,1,74,1,4.3,10980,9.92,8,15,1,0
12,1,0,0,0,38.5,0,0,1,0,0,0,0,0,9500,0,1,74,1,4.3,10980,9.92,8,15,1,0
12,1,1,0,0,54.67,0,0,1,0,0,0,1,0,9500,0,0,74,1,4.3,10980,9.92,8,15,1,1
12,1,1,0,0,53.92,1,0,0,0,0,0,1,0,14000,0,1,74,1,4.3,10980,9.92,8,15,0,1
16,1,1,0,0,54.64,0,0,0,0,0,0,0,0,22500,0,1,74,1,4.3,10980,9.92,8,15,0,0
14,1,1,0,0,45.16,0,0,0,1,0,1,0,0,31500,0,1,95,0,3.1,10980,9.92,20,1,1,1
15,1,0,0,0,49.38,0,0,0,0,0,0,0,0,62000,0,1,95,0,3.1,10980,9.92,20,1,0,0
